"id","refModel","pantheonStatus","clientApiStatus","createdAt","updatedAt","deletedAt"
2,"project","cancel-in-progress","cancelled","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
3,"project","done","completed","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
5,"project","confirm-finance","completed","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
6,"project","approval","in scoping","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
7,"project","scoping","in scoping","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
8,"project","intake","in scoping","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
9,"project","production","in progress","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
10,"project","planning","in progress","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
11,"project","confirm-intake-kit","in progress","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
12,"platformProject","new","created","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
13,"platformProject","processing","processing","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
14,"platformProject","discovered","created","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
15,"platformProject","error","error","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
16,"platformProject","hold","hold","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
17,"platformProject","lost","lost","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
18,"platformProject","ignored","ignored","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
1,"project","canceled","cancelled","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
4,"project","delivery","delivery in progress","2024-02-07 09:12:48.428368+00","2024-02-07 09:12:48.428368+00",""
